"asv","sample","abundance","id","age_class","sex","side","kingdom","phylum","class","order","fam","genus"
"ASV4","S61",6692,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV18","S18",5301,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV14","S54",4238,"Sheep16","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV58","S60",4132,"Sheep22","Lamb","Female","West","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV4","S37",3946,"Sheep29","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV1","S53",3436,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV12","S52",2904,"Sheep23","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV145","S14",2858,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV2","S12",2726,"Sheep20","Lamb","Female","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV14","S14",2721,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV55","S12",2597,"Sheep20","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"ASV1","S28",2584,"Sheep17","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
