"asv","sample","clr","meas_var","phylum","abundance","id","age_class","sex"
"ASV1","S1",9.23754241508017,0.00716864253185716,"Firmicutes",1502,"Sheep8","Adult","Female"
"ASV1","S10",10.2160948767544,0.0103119989437762,"Firmicutes",1618,"Sheep6","Adult","Male"
"ASV1","S12",9.70612797117403,0.0094465316144104,"Firmicutes",1045,"Sheep20","Lamb","Female"
"ASV1","S14",10.6765531627466,0.0115167434177232,"Firmicutes",1540,"Sheep24","Lamb","Male"
"ASV1","S18",11.0321403689663,0.0110951310998583,"Firmicutes",1886,"Sheep28","Lamb","Male"
"ASV1","S20",8.92541351417281,0.00739618143334129,"Firmicutes",1455,"Sheep14","Adult","Female"
"ASV1","S21",8.09987838507739,0.00851997961635797,"Firmicutes",892,"Sheep15","Adult","Male"
"ASV1","S23",8.9608405473698,0.00759714229118236,"Firmicutes",1522,"Sheep12","Adult","Female"
"ASV1","S25",9.03626732375471,0.00973368416818057,"Firmicutes",1396,"Sheep7","Adult","Female"
"ASV1","S28",10.908810720392,0.00767899018445985,"Firmicutes",2584,"Sheep17","Lamb","Female"
"ASV1","S31",9.20182143219102,0.00846788702470675,"Firmicutes",1401,"Sheep25","Lamb","Female"
"ASV1","S32",10.4401377991855,0.0102363577624232,"Firmicutes",1203,"Sheep27","Lamb","Male"
"ASV1","S35",10.4105219855585,0.0104166000716591,"Firmicutes",1335,"Sheep30","Lamb","Female"
"ASV1","S37",9.26863771881355,0.00994164813117815,"Firmicutes",1235,"Sheep29","Lamb","Male"
"ASV1","S40",9.00275746487793,0.00856429236945225,"Firmicutes",1219,"Sheep4","Adult","Male"
"ASV1","S43",9.54679898795821,0.00711404465634348,"Firmicutes",1570,"Sheep10","Adult","Male"
"ASV1","S44",9.12637636084745,0.00625370322456387,"Firmicutes",2063,"Sheep11","Adult","Female"
"ASV1","S45",10.11642661036,0.00999960301826039,"Firmicutes",1871,"Sheep9","Adult","Female"
"ASV1","S47",10.4448619770421,0.0100629491268928,"Firmicutes",2191,"Sheep19","Lamb","Male"
"ASV1","S52",9.98595499859607,0.0132551910691722,"Firmicutes",1089,"Sheep23","Lamb","Male"
"ASV1","S53",11.7952336517903,0.0097862859068712,"Firmicutes",3436,"Sheep26","Lamb","Female"
"ASV1","S54",10.0043257037017,0.00978263925493019,"Firmicutes",1625,"Sheep16","Lamb","Male"
"ASV1","S55",8.93059893565769,0.00859243003725001,"Firmicutes",1561,"Sheep3","Adult","Female"
"ASV1","S56",10.5029990221554,0.00806943359852107,"Firmicutes",1550,"Sheep1","Adult","Female"
"ASV1","S59",9.86572011052103,0.010766796565215,"Firmicutes",1143,"Sheep18","Lamb","Female"
"ASV1","S6",8.55255488496623,0.00745800586478215,"Firmicutes",967,"Sheep2","Adult","Female"
"ASV1","S60",10.35297598251,0.0109209680205494,"Firmicutes",1034,"Sheep22","Lamb","Female"
"ASV1","S61",9.62099977042566,0.0112332289359344,"Firmicutes",1022,"Sheep21","Lamb","Female"
"ASV1","S8",8.06239655708614,0.00805359740448899,"Firmicutes",869,"Sheep13","Adult","Female"
"ASV1","S9",9.38266143928676,0.00723396825699713,"Firmicutes",1858,"Sheep5","Adult","Male"
"ASV10","S1",7.70985291071908,0.0119260798359829,"Bacteroidetes",521,"Sheep8","Adult","Female"
"ASV10","S10",8.96029776799475,0.011050576901359,"Bacteroidetes",681,"Sheep6","Adult","Male"
"ASV10","S12",8.66419260368412,0.0109988066857645,"Bacteroidetes",505,"Sheep20","Lamb","Female"
"ASV10","S14",9.3661132844395,0.0127688113070226,"Bacteroidetes",619,"Sheep24","Lamb","Male"
"ASV10","S18",9.81119979578921,0.00992661090484655,"Bacteroidetes",807,"Sheep28","Lamb","Male"
"ASV10","S20",6.93925218036017,0.0104185060057173,"Bacteroidetes",369,"Sheep14","Adult","Female"
"ASV10","S21",6.50409031257753,0.0147885038174659,"Bacteroidetes",294,"Sheep15","Adult","Male"
"ASV10","S23",6.82018397479711,0.0108999857493637,"Bacteroidetes",345,"Sheep12","Adult","Female"
"ASV10","S25",7.43423255878904,0.0128625570800744,"Bacteroidetes",464,"Sheep7","Adult","Female"
"ASV10","S28",4.90100235170418,0.0629308330730967,"Bacteroidetes",40,"Sheep17","Lamb","Female"
"ASV10","S31",7.83821211248716,0.0117696259915577,"Bacteroidetes",541,"Sheep25","Lamb","Female"
"ASV10","S32",-2.28568664110324,8.58826029355093,"Bacteroidetes",0,"Sheep27","Lamb","Male"
"ASV10","S35",9.51586107652484,0.0123023233185076,"Bacteroidetes",720,"Sheep30","Lamb","Female"
"ASV10","S37",8.02130804283474,0.0107235323072382,"Bacteroidetes",518,"Sheep29","Lamb","Male"
"ASV10","S40",9.06611701076256,0.00772769983090539,"Bacteroidetes",1279,"Sheep4","Adult","Male"
"ASV10","S43",8.4795505002541,0.00814546813270949,"Bacteroidetes",751,"Sheep10","Adult","Male"
"ASV10","S44",7.64348828264582,0.00692306163028098,"Bacteroidetes",736,"Sheep11","Adult","Female"
"ASV10","S45",7.08560502111481,0.0152405699618457,"Bacteroidetes",229,"Sheep9","Adult","Female"
"ASV10","S47",8.90019436744028,0.0124694287768349,"Bacteroidetes",749,"Sheep19","Lamb","Male"
"ASV10","S52",-2.61577629968444,8.90014539092154,"Bacteroidetes",0,"Sheep23","Lamb","Male"
"ASV10","S53",-2.47540266747987,8.7814787630418,"Bacteroidetes",0,"Sheep26","Lamb","Female"
"ASV10","S54",5.4305619403416,0.0389797211567633,"Bacteroidetes",69,"Sheep16","Lamb","Male"
"ASV10","S55",7.49369862445308,0.0115081221311153,"Bacteroidetes",580,"Sheep3","Adult","Female"
"ASV10","S56",7.65307553290231,0.0197261966129968,"Bacteroidetes",213,"Sheep1","Adult","Female"
"ASV10","S59",10.4406198311478,0.00901018854265969,"Bacteroidetes",1700,"Sheep18","Lamb","Female"
"ASV10","S6",6.95571179392655,0.0154813679236727,"Bacteroidetes",321,"Sheep2","Adult","Female"
"ASV10","S60",10.0593739769998,0.0117860843897587,"Bacteroidetes",845,"Sheep22","Lamb","Female"
"ASV10","S61",10.8125235840032,0.00910267410310029,"Bacteroidetes",2340,"Sheep21","Lamb","Female"
